setAuthorName	setAuthorEmail	setOrganization	setExperimentTitle	setName	setDescription	setURI	setTool	setTool(Date)	addAlgorithm	addAlgorithm(URI)	setTargetClass	setStartsAtPosition	setEndsAtPosition	addPerformance	setTargetClass	setStartsAtPosition	setEndsAtPosition	addPerformance
Felix Hill 	felix.hill@cl.cam.ac.uk 	University of Cambridge	SimLex-999 (State of the art)	ESA		http://aclweb.org/aclwiki/index.php?title=SimLex-999_(State_of_the_art)	ESA	2015	ESA	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.271				0.145
Felix Hill 	felix.hill@cl.cam.ac.uk 	University of Cambridge	SimLex-999 (State of the art)	RNNenc	Hill et al. (2014b)[7]	http://aclweb.org/aclwiki/index.php?title=SimLex-999_(State_of_the_art)	RNNenc	2015	RNNenc	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.52				0
Felix Hill 	felix.hill@cl.cam.ac.uk 	University of Cambridge	SimLex-999 (State of the art)	SP+	Schwartz et al. (2015)[8]	http://aclweb.org/aclwiki/index.php?title=SimLex-999_(State_of_the_art)	SP+	2015	SP+	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.52				0
Felix Hill 	felix.hill@cl.cam.ac.uk 	University of Cambridge	SimLex-999 (State of the art)	joint(SP+,skip-gram)	Schwartz et al. (2015)[8]	http://aclweb.org/aclwiki/index.php?title=SimLex-999_(State_of_the_art)	joint(SP+,skip-gram)	2015	joint(SP+,skip-gram)	http://aclweb.org/aclwiki/index.php?title=MC-28_Test_Collection_(State_of_the_art)				0.56				0
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	L&C	Leacock and Chodorow (1998)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	L&C	2013	L&C	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.302				0.356
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	WNE	Jarmasz (2003)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	WNE	2013	WNE	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.305				0.271
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	J&C	Jiang and Conrath 1997	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	J&C	2013	J&C	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.318				0.354
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	L&C	Leacock and Chodorow (1998)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	L&C	2013	L&C	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.348				0.341
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	H&S	Hirst and St-Onge (1998)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	H&S	2013	H&S	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.302				0.356
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	Lin	Lin (1998)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	Lin	2013	Lin	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.348				0.357
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	Resnik	Resnik (1995)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	Resnik	2013	Resnik	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.353				0.365
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	ROGET	Jarmasz (2003)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	ROGET	2013	ROGET	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.415				0.536
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	C&W	Collobert and Weston (2008)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	C&W	2013	C&W	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.5				0
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	WikiRelate	Strube and Ponzetto (2006)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	WikiRelate	2013	WikiRelate	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0				0.48
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	LSA	Landauer et al. (1997)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	LSA	2013	LSA	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.581				0.492
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	LSA	Landauer et al. (1997)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	LSA	2013	LSA	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.581				0.563
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	simVB+simWN	Finkelstein et al. (2002)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	simVB+simWN	2013	simVB+simWN	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0				0.55
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	SSA	Hassan and Mihalcea (2011)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	SSA	2013	SSA	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.622				0.629
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	HSMN+csmRNN	Luong et al. (2013)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	HSMN+csmRNN	2013	HSMN+csmRNN	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.65				0
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	Multi-prototype	Huang et al. (2012)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	Multi-prototype	2013	Multi-prototype	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.71				0
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	Multi-lingual SSA	Hassan et al. (2011)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	Multi-lingual SSA	2013	Multi-lingual SSA	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.713				0.674
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	ESA	Gabrilovich and Markovitch (2007)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	ESA	2013	ESA	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.748				0.503
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	TSA	Radinsky et al. (2011)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	TSA	2013	TSA	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.8				0
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	CLEAR	Halawi et al. (2012)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	CLEAR	2013	CLEAR	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.81				0
András Dobó 	dobo@inf.u-szeged.hu 	University of Szeged 	WordSimilarity-353 Test Collection (State of the art)	Y&Q	Yih and Qazvinian (2012)	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)	Y&Q	2013	Y&Q	http://aclweb.org/aclwiki/index.php?title=WordSimilarity-353_Test_Collection_(State_of_the_art)				0.81				0
Christine Chiarello	emailexample@aclweb.org	Syracuse University Italy 	Similar-Associated-Both Test Collection (State of the art)	Dual-Space	Turney (2012)	http://aclweb.org/aclwiki/index.php?title=Similar-Associated-Both_Test_Collection_(State_of_the_art)	Dual-Space	2012	Dual-Space	http://aclweb.org/aclwiki/index.php?title=Similar-Associated-Both_Test_Collection_(State_of_the_art)				61.1				69.1
Christine Chiarello	emailexample@aclweb.org	Syracuse University Italy 	Similar-Associated-Both Test Collection (State of the art)	PairClass	Turney (2008)	http://aclweb.org/aclwiki/index.php?title=Similar-Associated-Both_Test_Collection_(State_of_the_art)	PairClass	2008	PairClass	http://aclweb.org/aclwiki/index.php?title=Similar-Associated-Both_Test_Collection_(State_of_the_art)				77.1				84.3
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	Random	Random guessing	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	Random	2003	Random	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				20				24.5
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	JC	Jiang and Conrath (1997)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	JC	2003	JC	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				27.3				32.4
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	LIN	Lin (1998)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	LIN	2003	LIN	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				27.3				32.4
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	LC	Leacock and Chodrow (1998)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	LC	2003	LC	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				31.3				36.5
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	HSO	Hirst and St.-Onge (1998)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	HSO	2003	HSO	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				32.1				37.4
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	RES	Resnik (1995)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	RES	2003	RES	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				33.2				38.5
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	PMI-IR	Turney (2001)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	PMI-IR	2003	PMI-IR	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				35				40.1
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	LSA+Predication	Mangalath et al. (2004)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	LSA+Predication	2003	LSA+Predication	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				42				47.4
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	KNOW-BEST	Veale (2004)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	KNOW-BEST	2003	KNOW-BEST	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				43				48.2
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	k-means	Bicici and Yuret (2006)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	k-means	2003	k-means	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				44				49.3
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	BagPack	Herda?delen and Baroni (2009)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	BagPack	2003	BagPack	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				44.1				49.3
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	VSM	Turney and Littman (2005)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	VSM	2003	VSM	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				47.1				52.5
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	Dual-Space	Turney (2012)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	Dual-Space	2003	Dual-Space	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				51.1				56.5
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	BMI	Bollegala et al. (2009)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	BMI	2003	BMI	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				51.1				56.5
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	PairClass	Turney (2008)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	PairClass	2003	PairClass	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				52.1				57.3
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	PERT	Turney (2006a)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	PERT	2003	PERT	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				53.5				58.9
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	SuperSim	Turney (2013)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	SuperSim	2003	SuperSim	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				54.8				59.9
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	LRA	Turney (2006b)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	LRA	2003	LRA	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				56.1				61.2
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	Human	Average US college applicant	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	Human	2003	Human	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				57				62.3
Michael L. Littman	mlittman@cs.rutgers.edu 	 Brown University 	SAT Analogy Questions (State of the art)	Human Voting	Lofi (2013)	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)	Human Voting	2003	Human Voting	http://aclweb.org/aclwiki/index.php?title=SAT_Analogy_Questions_(State_of_the_art)				81.5				85.4
David A. Jurgens1	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	BUAP	Tovar et al. (2012)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	BUAP	2014	BUAP	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				31.7				0.014
David A. Jurgens2	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	Random baseline	Jurgens et al. (2012)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	Random baseline	2014	Random baseline	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				31.2				0.018
David A. Jurgens3	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	Duluth-V2	Pedersen (2012)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	Duluth-V2	2014	Duluth-V2	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				31.1				0.038
David A. Jurgens4	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	Duluth-V1	Pedersen (2012)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	Duluth-V1	2014	Duluth-V1	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				31.5				0.039
David A. Jurgens5	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	Duluth-V0	Pedersen (2012)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	Duluth-V0	2014	Duluth-V0	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				32.4				0.05
David A. Jurgens6	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	PMI baseline	Jurgens et al. (2012)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	PMI baseline	2014	PMI baseline	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				33.9				0.112
David A. Jurgens7	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	UTD-SVM	Rink & Harabagiu (2012)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	UTD-SVM	2014	UTD-SVM	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				34.7				0.116
David A. Jurgens8	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	UTD-NB	Rink & Harabagiu (2012)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	UTD-NB	2014	UTD-NB	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				39.4				0.229
David A. Jurgens9	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	RNN-1600	Mikolov et al. (2013)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	RNN-1600	2014	RNN-1600	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				41.8				0.275
David A. Jurgens10	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	UTD-LDA	Rink & Harabagiu (2013)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	UTD-LDA	2014	UTD-LDA	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				0				0.334
David A. Jurgens11	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	PairDirection	Levy & Goldberg (2014)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	PairDirection	2014	PairDirection	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				45.2				0
David A. Jurgens12	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	Com	Zhila et al. (2013)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	Com	2014	Com	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				45.2				0.353
David A. Jurgens13	jurgens@stanford.edu	Stanford University 	SemEval-2012 Task 2 (State of the art)	SuperSim	Turney (2013)	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)	SuperSim	2014	SuperSim	http://aclweb.org/aclwiki/index.php?title=SemEval-2012_Task_2_(State_of_the_art)				47.2				0.408
Tomas Mikolov 	emailexample@aclweb.org	Microsoft Research 	Syntactic Analogies (State of the art)	CW-100	Mikolov et al. (2013)	http://aclweb.org/aclwiki/index.php?title=Syntactic_Analogies_(State_of_the_art)	CW-100	2013	CW-100	http://aclweb.org/aclwiki/index.php?title=Syntactic_Analogies_(State_of_the_art)				5				0
Tomas Mikolov 	emailexample@aclweb.org	Microsoft Research 	Syntactic Analogies (State of the art)	HLBL-100	Mikolov et al. (2013)	http://aclweb.org/aclwiki/index.php?title=Syntactic_Analogies_(State_of_the_art)	HLBL-100	2013	HLBL-100	http://aclweb.org/aclwiki/index.php?title=Syntactic_Analogies_(State_of_the_art)				18.7				0
Tomas Mikolov 	emailexample@aclweb.org	Microsoft Research 	Syntactic Analogies (State of the art)	RNN-1600	Mikolov et al. (2013)	http://aclweb.org/aclwiki/index.php?title=Syntactic_Analogies_(State_of_the_art)	RNN-1600	2013	RNN-1600	http://aclweb.org/aclwiki/index.php?title=Syntactic_Analogies_(State_of_the_art)				39.6				0
Tomas Mikolov 	emailexample@aclweb.org	Microsoft Research 	Syntactic Analogies (State of the art)	vLBL+NCE5	Mnih and Kavukcuoglu (2013)	http://aclweb.org/aclwiki/index.php?title=Syntactic_Analogies_(State_of_the_art)	vLBL+NCE5	2013	vLBL+NCE5	http://aclweb.org/aclwiki/index.php?title=Syntactic_Analogies_(State_of_the_art)				60.8				0
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	Noun-Modifier Questions (State of the art)	Vector addition	Landauer and Dumais (1997)	http://aclweb.org/aclwiki/index.php?title=Noun-Modifier_Questions_(State_of_the_art)	Vector addition	2013	Vector addition	http://aclweb.org/aclwiki/index.php?title=Noun-Modifier_Questions_(State_of_the_art)				50.1				22.5
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	Noun-Modifier Questions (State of the art)	Element-wise multiplication	Mitchell and Lapata (2008)	http://aclweb.org/aclwiki/index.php?title=Noun-Modifier_Questions_(State_of_the_art)	Element-wise multiplication	2013	Element-wise multiplication	http://aclweb.org/aclwiki/index.php?title=Noun-Modifier_Questions_(State_of_the_art)				57.5				27.4
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	Noun-Modifier Questions (State of the art)	Dual-Space model	Turney (2012)	http://aclweb.org/aclwiki/index.php?title=Noun-Modifier_Questions_(State_of_the_art)	Dual-Space model	2013	Dual-Space model	http://aclweb.org/aclwiki/index.php?title=Noun-Modifier_Questions_(State_of_the_art)				58.3				41.5
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	Noun-Modifier Questions (State of the art)	SuperSim	Turney (2013)	http://aclweb.org/aclwiki/index.php?title=Noun-Modifier_Questions_(State_of_the_art)	SuperSim	2013	SuperSim	http://aclweb.org/aclwiki/index.php?title=Noun-Modifier_Questions_(State_of_the_art)				75.9				68
Peter D. Turney	peter.turney@nrc.ca	UNIVERSITY OF COLORADO  	Noun-Modifier Questions (State of the art)	Holistic model	Turney (2012)	http://aclweb.org/aclwiki/index.php?title=Noun-Modifier_Questions_(State_of_the_art)	Holistic model	2013	Holistic model	http://aclweb.org/aclwiki/index.php?title=Noun-Modifier_Questions_(State_of_the_art)				81.6				0
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	Vector Based Similarity (Baseline)	cosine similarity with tf-idf weighting	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	Vector Based Similarity (Baseline)	2015	Vector Based Similarity (Baseline)	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				65.4				75.3
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	ESA	explicit semantic space	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	ESA	2015	ESA	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				67				79.3
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	KM	combination of lexical and semantic features	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	KM	2015	KM	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				76.6				79.6
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	LSA	latent semantic space	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	LSA	2015	LSA	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				68.8				79.9
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	RMLMG	graph subsumption	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	RMLMG	2015	RMLMG	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				70.6				80.5
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	MCS	combination of several word similarity measures	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	MCS	2015	MCS	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				70.3				81.3
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	STS	combination of semantic and string similarity	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	STS	2015	STS	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				72.6				81.3
Dolan, B. 	emailexample@aclweb.org	 Microsoft Research 	Paraphrase Identification (State of the art)	SSA	salient semantic space	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)	SSA	2015	SSA	http://aclweb.org/aclwiki/index.php?title=Paraphrase_Identification_(State_of_the_art)				72.5				81.4
